_time_gateway,SNR_PMP_UW_S_1,ICF_SCS_FG_T_2,ICF_TMS_NOX_A,ACT_SNR_PMP_BO_6,ACT_SNR_PMP_BO_0
2025-11-20 15:38:28,17.6812496,1091.34998,0.612500012,,
2025-11-20 15:38:29,17.6812496,1091.67505,0.725000024,,
2025-11-20 15:38:30,17.6812496,1091.9187,0.75,,22.6812496
2025-11-20 15:38:31,17.6812496,1091.9187,0.75,,
2025-11-20 15:38:32,17.6812496,1091.9187,0.737500012,,
2025-11-20 15:38:33,17.6812496,1091.9187,0.737500012,,
2025-11-20 15:38:34,17.6812496,1093.86877,0.75,,
2025-11-20 15:38:35,17.6812496,1093.86877,0.75,,22.6812496
2025-11-20 15:38:36,17.6812496,1093.46252,0.800000012,,
2025-11-20 15:38:37,17.6812496,1093.46252,0.800000012,,
2025-11-20 15:38:38,17.6812496,1093.46252,0.787500024,,
2025-11-20 15:38:39,17.6812496,1092.8125,0.9375,,
2025-11-20 15:38:40,17.6812496,1092.8125,0.9375,,22.6812496
2025-11-20 15:38:41,17.6812496,1092.8938,0.574999988,,
2025-11-20 15:38:42,17.6812496,1092.8938,0.574999988,,
2025-11-20 15:38:43,17.6812496,1093.46252,0.912500024,,
2025-11-20 15:38:44,17.6812496,1092.48755,0.550000012,,
2025-11-20 15:38:45,17.6812496,1092.8125,0.600000024,,22.6812496
2025-11-20 15:38:46,17.6812496,1092.97498,0.762499988,,
2025-11-20 15:38:47,17.6812496,1092.97498,0.762499988,,
2025-11-20 15:38:48,17.6812496,1094.5188,0.887499988,,
2025-11-20 15:38:49,17.6812496,1094.59998,0.662500024,,
2025-11-20 15:38:50,17.6812496,1094.59998,0.662500024,,22.6812496
2025-11-20 15:38:51,17.6812496,1094.3562,0.75,,
2025-11-20 15:38:52,17.6812496,1094.3562,0.712499976,,
2025-11-20 15:38:53,17.6812496,1094.11255,0.712499976,,
2025-11-20 15:38:54,17.6812496,1094.59998,1.01250005,,
2025-11-20 15:38:55,17.6812496,1094.59998,1.01250005,,22.6812496
2025-11-20 15:38:56,17.6812496,1095.1687,0.612500012,,
2025-11-20 15:38:57,17.6812496,1095.1687,0.649999976,,
2025-11-20 15:38:58,17.6812496,1094.4375,0.649999976,,
2025-11-20 15:38:59,17.6812496,1093.7063,0.862500012,,
2025-11-20 15:39:00,17.6812496,1093.625,0.725000024,,22.6812496
2025-11-20 15:39:01,17.6812496,1093.625,0.725000024,,
2025-11-20 15:39:02,17.6812496,1093.86877,0.587499976,,
2025-11-20 15:39:03,17.6812496,1093.86877,0.587499976,,
2025-11-20 15:39:04,17.6812496,1092.65002,0.587499976,,
2025-11-20 15:39:05,17.6812496,1092.8938,0.649999976,,22.6812496
2025-11-20 15:39:06,17.6812496,1093.38123,0.787500024,,
2025-11-20 15:39:07,17.6812496,1093.38123,0.787500024,,
2025-11-20 15:39:08,17.6812496,1093.625,0.675000012,,
2025-11-20 15:39:09,17.6812496,1093.13745,1.0,,
2025-11-20 15:39:10,17.6812496,1093.13745,1.0,,22.6812496
2025-11-20 15:39:11,17.6812496,1092.8938,0.75,,
2025-11-20 15:39:12,17.6812496,1092.8938,0.75,,
2025-11-20 15:39:13,17.6812496,1092.65002,1.03750002,,
2025-11-20 15:39:14,17.6812496,1092.16248,0.649999976,,
2025-11-20 15:39:15,17.6812496,1092.16248,0.649999976,,22.6812496
2025-11-20 15:39:16,17.6812496,1092.16248,0.725000024,,
2025-11-20 15:39:17,17.6812496,1091.43127,0.725000024,,
2025-11-20 15:39:18,17.6812496,1090.86255,1.03750002,,
2025-11-20 15:39:19,17.6812496,1091.02502,0.5,,
2025-11-20 15:39:20,17.6812496,1091.02502,0.5,,22.6812496
2025-11-20 15:39:21,17.6812496,1092.0813,0.725000024,,
2025-11-20 15:39:22,17.6812496,1092.0813,0.725000024,,
2025-11-20 15:39:23,17.6812496,1091.67505,1.0,,
2025-11-20 15:39:24,17.6812496,1091.67505,1.0,,
2025-11-20 15:39:25,17.6812496,1091.43127,0.975000024,,22.6812496
2025-11-20 15:39:26,17.6812496,1091.1062,0.774999976,,
2025-11-20 15:39:27,17.6812496,1091.1062,0.774999976,,
2025-11-20 15:39:28,17.6812496,1091.59375,0.850000024,,
2025-11-20 15:39:29,17.6812496,1090.94373,0.600000024,,
2025-11-20 15:39:30,17.6812496,1090.94373,0.600000024,,22.6812496
2025-11-20 15:39:31,17.6812496,1091.67505,0.587499976,,
2025-11-20 15:39:32,17.6812496,1090.86255,0.600000024,,
2025-11-20 15:39:33,17.6812496,1090.86255,0.600000024,,
